,SKU,Brand,NotRepeat
0,CRSCRUB250,CR,CR
1,LABC-004,LA,LA
2,CRMR250,CR,NY
3,NY0115,NY,BW
4,BWMS2TPL50,BW,NE
5,NE1102042,NE,MG
6,LAS-001,LA,GA
7,NY2182,NY,BA
8,MGSD20973,MG,RA
9,GAGRA0006,GA,ER
10,CRRAS250,CR,DI
11,BWDISHLTM500,BW,UK
12,NY2177,NY,BL
13,GAGRA0369,GA,LE
14,LAB-012,LA,LR
15,NY2161,NY,EL
16,GAGRA0071,GA,1B
17,NE1103067,NE,EE
18,NY2237,NY,OM
19,NY2198,NY,BY
20,NY2221,NY,JA
21,CRSP400,CR,RE
22,BA5055479087187,BA,LB
23,LAS-002,LA,AB
24,BWFWLTM500,BW,AP
25,NY2171,NY,KE
26,NE1221001,NE,SF
27,LAL-005,LA,EH
28,NY1663,NY,MH
29,BWMS2TPL300,BW,IL
30,RAAB0013A,RA,10
31,LAC-006,LA,BT
32,ER01BLCNR,ER,SA
33,LAB-00,LA,NB
34,DIFLEURP75C,DI,CU
35,CRSV400,CR,OK
36,DIROSE100V1,DI,CV
37,NY0305,NY,UN
38,MGFM11210,MG,TO
39,DIROSHMIST,DI,HI
40,NY2346,NY,FO
41,NY0356,NY,HE
42,NY2710,NY,SJ
43,UK4582328104234,UK,OT
44,LAS-010,LA,NA
45,NY0314,NY,OR
46,NE1103068,NE,TG
47,RAAB0001A,RA,LL
48,NY2368,NY,DD
49,MGFM10210,MG,YO
50,LAC-014,LA,PL
51,UK4582328104654,UK,HO
52,NY2183,NY,Ab
53,NY2032,NY,
54,BWFWTPL500,BW,
55,MGCC60509,MG,
56,NE1221002,NE,
57,MGPO901,MG,
58,ER10SMONR,ER,
59,NY0716,NY,
60,NY2165,NY,
61,UK4582328104500,UK,
62,NE1101168,NE,
63,GAGRA0050,GA,
64,NY1402,NY,
65,LAL-013,LA,
66,BLC008G,BL,
67,LE463034,LE,
68,DIMINTP75C,DI,
69,LR10012,LR,
70,LAS-020,LA,
71,NY1312,NY,
72,EL4600,EL,
73,GAGRA0087,GA,
74,1B050010,1B,
75,EE50763,EE,
76,MGSD20901,MG,
77,NY1513,NY,
78,NY2805,NY,
79,CRSP250,CR,
80,UK4582328108119,UK,
81,BWBSTPL500,BW,
82,BA5055479084810,BA,
83,OM10801,OM,
84,ER10SMCR,ER,
85,LAS-021,LA,
86,NE1102039,NE,
87,ER01DCR25R,ER,
88,NE1103072,NE,
89,MGHW218250,MG,
90,LASMS-014,LA,
91,BWFWSPR500,BW,
92,CRCDJ100,CR,
93,NY7173,NY,
94,ER01BCRR,ER,
95,ER01TMRNR,ER,
96,BWSASNL125,BW,
97,NY1301,NY,
98,BA5055479083867,BA,
99,DITRSPRAYROSE,DI,
100,BWBSSPR500,BW,
101,OM13701,OM,
102,DIROSE50V1,DI,
103,NY0677,NY,
104,NY0114,NY,
105,LE463058,LE,
106,NY1661,NY,
107,ER10MBBNR,ER,
108,NE1214005,NE,
109,BWBSLTM500,BW,
110,NY2176,NY,
111,LAS-003,LA,
112,NE1103073,NE,
113,BLB001,BL,
114,ER14LB2NR,ER,
115,ER10ONBNR,ER,
116,NE1101169,NE,
117,NE14315,NE,
118,NE1221003,NE,
119,NY2172,NY,
120,DIHBSGEL1,DI,
121,NY2369,NY,
122,BWMS2TPL50C,BW,
123,NY2164,NY,
124,1B015010,1B,
125,NY2711,NY,
126,NY0094,NY,
127,BY112016,BY,
128,NY2155,NY,
129,NE1202035,NE,
130,LASMS-021,LA,
131,NY2240,NY,
132,NY2362,NY,
133,NY0785,NY,
134,DIB1,DI,
135,GAGRA0186,GA,
136,RAAB0054,RA,
137,LR10611,LR,
138,UK4582328104647,UK,
139,NY2370,NY,
140,NY2802,NY,
141,NY1520,NY,
142,JASP94N,JA,
143,NY1401,NY,
144,NY1516,NY,
145,NE1214006,NE,
146,CRSV250,CR,
147,NY0311,NY,
148,LR11081,LR,
149,NY2175,NY,
150,UK4582328104678,UK,
151,BWLWTPL500,BW,
152,MGHS30016,MG,
153,NY1797,NY,
154,RE3846,RE,
155,NY7095,NY,
156,GAGRA0003,GA,
157,CRDV250,CR,
158,GAGRA0013,GA,
159,DIBRACMIN,DI,
160,NE1103069,NE,
161,NY2181,NY,
162,UK4582328104609,UK,
163,DIMINTFOAM,DI,
164,NY2748,NY,
165,NY2384,NY,
166,NY2236,NY,
167,DIDOSHMIST,DI,
168,BA5055479083865,BA,
169,ER14LB1NR,ER,
170,NY0046,NY,
171,NE1101163,NE,
172,BA5055479042674,BA,
173,UK4582328108126,UK,
174,RAAB0003A,RA,
175,NE1222001,NE,
176,ER01BOINR,ER,
177,DIROSHCREAM,DI,
178,NY0676,NY,
179,GAGRA0173,GA,
180,NE1103071,NE,
181,NY2179,NY,
182,NY2804,NY,
183,GAGRA0183,GA,
184,NY2186,NY,
185,GAGRA0075,GA,
186,ER01LOTR,ER,
187,LR11046,LR,
188,RAAB0068,RA,
189,NY0014,NY,
