,SKU,Brand,NotRepeat
0,CRMR250,CR,CR
1,CRRAS250,CR,LA
2,LAS-001,LA,EL
3,EL4600,EL,GA
4,CRSP400,CR,LE
5,GAGRA0006,GA,BW
6,CRSV400,CR,MG
7,LE463058,LE,OM
8,BWDISHLTM500,BW,DI
9,MGFM10210,MG,NY
10,LAC-006,LA,NE
11,OM13701,OM,BA
12,DICAPSB,DI,LL
13,LABC-004,LA,ER
14,LE463034,LE,RE
15,LAL-005,LA,EE
16,CRSCRUB250,CR,LR
17,NY2182,NY,UK
18,NE1103067,NE,AP
19,NY0305,NY,BY
20,LAS-003,LA,1B
21,NY2346,NY,SA
22,NY0115,NY,AB
23,CRSP250,CR,EH
24,DICAPS34,DI,BL
25,LAS-021,LA,BT
26,DIROSE100V1,DI,RA
27,BWFWLTM500,BW,NB
28,NE1103068,NE,LB
29,DIROSFOAM,DI,MH
30,LAS-010,LA,CU
31,LAS-002,LA,JA
32,GAGRA0369,GA,IL
33,BA5055479087187,BA,IE
34,GAGRA0071,GA,RO
35,CRDV250,CR,10
36,DIB1,DI,SF
37,LAB-00,LA,SJ
38,LASMS-014,LA,CV
39,NY2177,NY,CO
40,MGSD20973,MG,Ab
41,NY2161,NY,
42,NE1101168,NE,
43,BWFWTPL500,BW,
44,CRSH250,CR,
45,MGCC60509,MG,
46,LLJ0WC01,LL,
47,BA5055479084810,BA,
48,CRSV250,CR,
49,DICAPSRO,DI,
50,NY2198,NY,
51,LAB-012,LA,
52,BWMS2TPL50,BW,
53,BA5055479042674,BA,
54,NY2237,NY,
55,CRSR400,CR,
56,NE1221001,NE,
57,NE1101163,NE,
58,LAL-013,LA,
59,BWFWSPR500,BW,
60,GAGRA0087,GA,
61,NY0094,NY,
62,ER01BLCNR,ER,
63,RE3846,RE,
64,CRCC250,CR,
65,LE463041,LE,
66,BWBSLTM500,BW,
67,NE1102042,NE,
68,NY2384,NY,
69,EE50763,EE,
70,DIB70V,DI,
71,NE1101169,NE,
72,LR11081,LR,
73,DIP34B,DI,
74,NY0716,NY,
75,MGHS30016,MG,
76,NE1221002,NE,
77,LAS-020,LA,
78,BWBSTPL500,BW,
79,ER01BCRR,ER,
80,LAB-008,LA,
81,UK4582328108119,UK,
82,UK4582328104500,UK,
83,BA5055479086258,BA,
84,NY1797,NY,
85,NY2032,NY,
86,DIROSBLOTION,DI,
87,BA5055479083865,BA,
88,BWBSSPR500,BW,
89,ER10SMONR,ER,
90,DISET5EDT,DI,
91,NE1103071,NE,
92,APAD04-SO,AP,
93,CRBV150,CR,
94,BY112011,BY,
95,DICAPSAB,DI,
96,GAGRA0050,GA,
97,LLJ1KY01,LL,
98,NY2171,NY,
99,EL7880,EL,
100,NE1103069,NE,
101,MGPO901,MG,
102,BA5055479042698,BA,
103,NE1103072,NE,
104,NE1214005,NE,
105,NY0701,NY,
106,DIS34B,DI,
107,NY1402,NY,
108,DIPB,DI,
109,NY0356,NY,
110,BY112016,BY,
111,DIDOSON100V1,DI,
112,MGHW218250,MG,
113,DIOMBRE100V1,DI,
114,BY200045,BY,
115,DICAPSFI,DI,
116,GAGRA0173,GA,
117,DIRO1,DI,
118,BWMS2TPL300,BW,
119,BY100109,BY,
120,BWLWTPL500,BW,
121,1B050010,1B,
122,GAGRA0013,GA,
123,DIOMBREP75C,DI,
124,LAC-014,LA,
125,NE1103073,NE,
126,NY2802,NY,
127,GAGRA0003,GA,
128,ER10SMCR,ER,
129,EE00173,EE,
130,DIDOSSHOIL,DI,
131,LR10513,LR,
132,DIROSHCREAM,DI,
133,ELFGS100472,EL,
134,1B015010,1B,
135,CRCDJ100,CR,
136,APAD12-IF,AP,
137,CRSR250,CR,
138,DIRO70V,DI,
139,LLJ08T01,LL,
140,ELFGS100228,EL,
141,SA167,SA,
142,BWSASNL125,BW,
143,GAGRA0020,GA,
144,CRGDP250,CR,
145,NY0520,NY,
146,LALABO-SANTAL,LA,
147,LLJ1KR01,LL,
148,DIPRO,DI,
149,ABSO-20,AB,
150,DIBN2,DI,
151,NY1312,NY,
152,UK4582328108126,UK,
153,GAGRA0018,GA,
154,CRRASMEN250,CR,
155,LR10012,LR,
156,DISOLIDEROSE,DI,
157,BWMS2TPL50C,BW,
158,BWHSTPL300,BW,
159,ER01TMRNR,ER,
160,EH0921B,EH,
161,LR11045,LR,
162,ER14LB2NR,ER,
163,DIVETY100V1,DI,
164,SA105,SA,
165,EH0912A,EH,
166,BLB001,BL,
167,NE1214006,NE,
168,CRSBC250,CR,
169,BLC008G,BL,
170,NY0570,NY,
171,BTV18300008,BT,
172,NY1301,NY,
173,NE14315,NE,
174,NY0326,NY,
175,NY2221,NY,
176,APAD13-P,AP,
177,NE1221003,NE,
178,LR11076,LR,
179,DI34B1,DI,
180,UK4582328104647,UK,
181,NY2155,NY,
182,RAAB0054,RA,
183,LE463003,LE,
184,LLJ0L501,LL,
185,NY1401,NY,
186,ELFGS100436,EL,
187,NB31E202,NB,
188,DIDOSONP75C,DI,
189,NE1102039,NE,
190,ER10MBBNR,ER,
191,MGSD20901,MG,
192,NY2176,NY,
193,NY2801,NY,
194,NY0114,NY,
195,ER10ONBNR,ER,
196,NE1101172,NE,
197,RAAB0055,RA,
198,NY1663,NY,
199,DISOAPROSE,DI,
200,NE1210008,NE,
201,DISOAPDOSON,DI,
202,NY0785,NY,
203,DITAMDAO100V1,DI,
204,RAAB0013A,RA,
205,NY2181,NY,
206,NY0677,NY,
207,BA5055291784783,BA,
208,NE1222001,NE,
209,NY2711,NY,
210,ER01BAW16CR,ER,
211,NY0081,NY,
212,NY0314,NY,
213,MGFC10008,MG,
214,DISOAPSENS,DI,
215,DIGV1,DI,
216,NY0572,NY,
217,NE1222002,NE,
218,GAGRA0183,GA,
219,DIOMBSHOIL,DI,
220,CRMBC250,CR,
221,DITAMDAOP75C,DI,
222,BTV18301001,BT,
223,NY1661,NY,
224,DIFACELIP1,DI,
225,UK4582328104654,UK,
226,DISENSHMIST,DI,
227,NY2804,NY,
228,MGST11612,MG,
229,EE00713,EE,
230,BY200126,BY,
231,NE1202036,NE,
232,ER14LB1NR,ER,
233,DICOF3BG10,DI,
234,DIBRACDOS,DI,
235,DIVBV1,DI,
236,DIMI70V,DI,
237,DIBODYSCRUB1,DI,
238,BA5055479083836,BA,
239,NY2368,NY,
240,GAGRA0220,GA,
241,BY100098,BY,
242,DIBRACTAM,DI,
243,NY1520,NY,
244,ER01BOINR,ER,
245,BWBWLTM500,BW,
246,LLJ0LL01,LL,
247,DISOLIDEDOSO1,DI,
248,MGCM60009,MG,
249,ER10QEANR,ER,
250,CRBH150,CR,
251,BWBWTPL500,BW,
252,DIPHILO100V1,DI,
253,ER01LOTR,ER,
254,LBLBMP006,LB,
255,NY2186,NY,
256,UK4582328104234,UK,
257,DIOMBBALM,DI,
258,BWBWSPR500,BW,
259,EE50173,EE,
260,LR10224,LR,
261,NY2710,NY,
262,DICAPSGG,DI,
263,DIFLEURBBALM,DI,
264,1B015003,1B,
265,MGFM11210,MG,
266,LR11035,LR,
267,BTV18100001,BT,
268,CRMH200,CR,
269,NE1103070,NE,
270,NE1202035,NE,
271,NY2419,NY,
272,LAS-019,LA,
273,BY200005,BY,
274,NY2183,NY,
275,BY200012,BY,
276,LLJ0F801,LL,
277,GAGRA0186,GA,
278,DIOMBRE50V1,DI,
279,NE1101167,NE,
280,BA5055479056480,BA,
281,DIROSE7.5,DI,
282,BWGSSPR500,BW,
283,MHRSBW01,MH,
284,UK4582328104685,UK,
285,NY0569,NY,
286,CU8050534796087,CU,
287,NY2165,NY,
288,LE463348,LE,
289,LR11046,LR,
290,LALABO-ROSE,LA,
291,UK4582328104517,UK,
292,UK4582328104678,UK,
293,CU8050534796162,CU,
294,GAGRA0004,GA,
295,GAGRA0217,GA,
296,DIBRACROS,DI,
297,NY7173,NY,
298,BLP002C,BL,
299,CRCC500,CR,
300,DIPHILOP75C,DI,
301,BWDDWPL100,BW,
302,RE4224,RE,
303,LLJ0R901,LL,
304,NY2173,NY,
305,CU8050534796063,CU,
306,DISOAPOMBRE,DI,
307,LLJ0F201,LL,
308,UK4582328104692,UK,
309,UK4582328108102,UK,
310,ER01LOT16R,ER,
311,DI34BEAU100,DI,
312,1B050003,1B,
313,UK4582328104715,UK,
314,ER01BAWCR,ER,
315,EH0940,EH,
316,EL1186,EL,
317,LR10303,LR,
318,DIMOHE100V1,DI,
