,SKU_list,Brand,NotRepeat
0,1B000135,1B,1B
1,1B015002,1B,AB
2,1B015003,1B,Ab
3,1B015007,1B,BA
4,1B015008,1B,BL
5,1B015010,1B,BW
6,1B015031,1B,CR
7,1B015033,1B,EE
8,1B015044,1B,EH
9,1B050002,1B,ER
10,1B050003,1B,GA
11,1B050004,1B,IL
12,1B050007,1B,JA
13,1B050008,1B,LA
14,1B050010,1B,LB
15,1B050011,1B,LE
16,1B050020,1B,LR
17,1B050031,1B,MG
18,1B050033,1B,MH
19,1B050044,1B,NE
20,1B150096,1B,NY
21,1B150097,1B,OM
22,1B150098,1B,RA
23,1B150148,1B,RE
24,1B300056,1B,UK
25,1B300154,1B,
26,1B999056,1B,
27,1B999154,1B,
28,ABSO-0030,AB,
29,ABSO-0EAU,AB,
30,ABSO-15MREP,AB,
31,ABSO-17OIL,AB,
32,ABSO-1CFJ,AB,
33,ABSO-20,AB,
34,ABSO-26,AB,
35,ABSO-2CFN,AB,
36,ABSO-32,AB,
37,ABSO-33,AB,
38,ABSO0012,AB,
39,ABSO0021,AB,
40,ABSO0023,AB,
41,ABSO0031,AB,
42,ABSO0034,AB,
43,ABSO0036,AB,
44,ABSO0038,AB,
45,ABSO0041,AB,
46,ABSO0042,AB,
47,ABSO0043,AB,
48,ABSO0044,AB,
49,ABSO0082,AB,
50,ABSO1004,AB,
51,ABSO1005,AB,
52,ABSO1006,AB,
53,ABSO1007,AB,
54,Abso0012,Ab,
55,BA5055285771782,BA,
56,BA5055291731688,BA,
57,BA5055291731701,BA,
58,BA5055291784752,BA,
59,BA5055291784769,BA,
60,BA5055291784776,BA,
61,BA5055291784783,BA,
62,BA5055479042650,BA,
63,BA5055479042667,BA,
64,BA5055479042674,BA,
65,BA5055479042681,BA,
66,BA5055479042698,BA,
67,BA5055479042704,BA,
68,BA5055479042735,BA,
69,BA5055479048935,BA,
70,BA5055479056480,BA,
71,BA5055479059504,BA,
72,BA5055479059528,BA,
73,BA5055479059535,BA,
74,BA5055479059580,BA,
75,BA5055479071544,BA,
76,BA5055479083835,BA,
77,BA5055479083836,BA,
78,BA5055479083837,BA,
79,BA5055479083838,BA,
80,BA5055479083840,BA,
81,BA5055479083841,BA,
82,BA5055479083842,BA,
83,BA5055479083843,BA,
84,BA5055479083844,BA,
85,BA5055479083846,BA,
86,BA5055479083865,BA,
87,BA5055479083867,BA,
88,BA5055479084810,BA,
89,BA5055479086258,BA,
90,BA5055479087156,BA,
91,BA5055479087163,BA,
92,BA5055479087187,BA,
93,BA5055479087422,BA,
94,BA5055479088924,BA,
95,BA5055479088931,BA,
96,BA5055479088948,BA,
97,BLA029,BL,
98,BLB001,BL,
99,BLC008G,BL,
100,BLC008R,BL,
101,BLP002C,BL,
102,BWBBBBCP100,BW,
103,BWBBLBCP250,BW,
104,BWBBPBCP100,BW,
105,BWBBWBCP250,BW,
106,BWBSLTM500,BW,
107,BWBSSPR500,BW,
108,BWBSTPL500,BW,
109,BWBWLTM500,BW,
110,BWBWSPR500,BW,
111,BWBWTPL500,BW,
112,BWDDWPL100,BW,
113,BWDELIBCP500,BW,
114,BWDISHLTM500,BW,
115,BWDWPL500,BW,
116,BWFVWNC500,BW,
117,BWFWLTM500,BW,
118,BWFWSPR500,BW,
119,BWFWTPL500,BW,
120,BWGSSPR500,BW,
121,BWHSTPL300,BW,
122,BWKSPL150,BW,
123,BWLWTPL1L,BW,
124,BWLWTPL500,BW,
125,BWMS2TPL300,BW,
126,BWMS2TPL50,BW,
127,BWMS2TPL50C,BW,
128,BWSACNL100,BW,
129,BWSASNL125,BW,
130,BWSOAPBCP100,BW,
131,BWSOAPFS100,BW,
132,BWSOAPTPL100,BW,
133,BWYMSTPL150,BW,
134,CRBH150,CR,
135,CRBV150,CR,
136,CRCC250,CR,
137,CRCC500,CR,
138,CRCDJ100,CR,
139,CRDV250,CR,
140,CRGDP250,CR,
141,CRHL150,CR,
142,CRMBC250,CR,
143,CRMH200,CR,
144,CRMR250,CR,
145,CRRAS250,CR,
146,CRRASMEN250,CR,
147,CRSBC250,CR,
148,CRSCRUB250,CR,
149,CRSH250,CR,
150,CRSP250,CR,
151,CRSP400,CR,
152,CRSR250,CR,
153,CRSR400,CR,
154,CRSV250,CR,
155,CRSV400,CR,
156,EE00173,EE,
157,EE50173,EE,
158,EE50763,EE,
159,EH0903A,EH,
160,EH0908C,EH,
161,EH0909,EH,
162,EH0910A,EH,
163,EH0911,EH,
164,EH0912A,EH,
165,EH0921B,EH,
166,EH0940,EH,
167,EH0946A,EH,
168,EH0952A,EH,
169,EH0967,EH,
170,EH0969,EH,
171,EH0978,EH,
172,EH1014,EH,
173,EH1030,EH,
174,ER01BAW16CR,ER,
175,ER01BAWCR,ER,
176,ER01BCRR,ER,
177,ER01BLCNR,ER,
178,ER01BOINR,ER,
179,ER01BSOR,ER,
180,ER01DCR25R,ER,
181,ER01LOT16R,ER,
182,ER01LOTR,ER,
183,ER01SCBNR,ER,
184,ER01TMRNR,ER,
185,ER03DEJNR,ER,
186,ER03DEONR,ER,
187,ER10MBBNR,ER,
188,ER10MRONR,ER,
189,ER10ONBNR,ER,
190,ER10QEANR,ER,
191,ER10SMCR,ER,
192,ER10SMONR,ER,
193,ER14LB1NR,ER,
194,ER14LB2NR,ER,
195,ER14RFBNR,ER,
196,ER15FIONR,ER,
197,GAGRA0001,GA,
198,GAGRA0003,GA,
199,GAGRA0004,GA,
200,GAGRA0005,GA,
201,GAGRA0006,GA,
202,GAGRA0007,GA,
203,GAGRA0012,GA,
204,GAGRA0013,GA,
205,GAGRA0018,GA,
206,GAGRA0019,GA,
207,GAGRA0020,GA,
208,GAGRA0022,GA,
209,GAGRA0024,GA,
210,GAGRA0030,GA,
211,GAGRA0032,GA,
212,GAGRA0033,GA,
213,GAGRA0039,GA,
214,GAGRA0042,GA,
215,GAGRA0048,GA,
216,GAGRA0049,GA,
217,GAGRA0050,GA,
218,GAGRA0063,GA,
219,GAGRA0064,GA,
220,GAGRA0068,GA,
221,GAGRA0071,GA,
222,GAGRA0075,GA,
223,GAGRA0082,GA,
224,GAGRA0085,GA,
225,GAGRA0087,GA,
226,GAGRA0156,GA,
227,GAGRA0173,GA,
228,GAGRA0183,GA,
229,GAGRA0186,GA,
230,GAGRA0217,GA,
231,GAGRA0220,GA,
232,GAGRA0248,GA,
233,GAGRA0263,GA,
234,GAGRA0311,GA,
235,GAGRA0314,GA,
236,GAGRA0330,GA,
237,GAGRA0355,GA,
238,GAGRA0356,GA,
239,GAGRA0369,GA,
240,GAGRA0370,GA,
241,GAGRA0372,GA,
242,GAGRG0135,GA,
243,GAGRG0149,GA,
244,ILCBLS01B,IL,
245,ILCBLS02B,IL,
246,ILCBLS03B,IL,
247,ILCBLS04B,IL,
248,ILCBLS05B,IL,
249,ILCBLS06B,IL,
250,ILCBLS07B,IL,
251,ILCBLS09B,IL,
252,ILCBLS11B,IL,
253,ILCBLS13B,IL,
254,ILCBLS14B,IL,
255,ILCBLS15B,IL,
256,ILCH01B,IL,
257,ILCH02B,IL,
258,ILCH03B,IL,
259,ILCH04B,IL,
260,ILCH05B,IL,
261,ILCLGL01B,IL,
262,ILCLGL02B,IL,
263,ILCLLE01B,IL,
264,ILEB01B,IL,
265,ILEB02B,IL,
266,ILEB03B,IL,
267,ILEP01B,IL,
268,ILESSIX01B,IL,
269,ILESSIX02B,IL,
270,ILLC01B,IL,
271,ILLC02B,IL,
272,ILLL01B,IL,
273,ILLL02B,IL,
274,ILLL03B,IL,
275,ILLM01B,IL,
276,ILMS01B,IL,
277,ILMS04B,IL,
278,ILMS05B,IL,
279,ILMS07B,IL,
280,ILMS08B,IL,
281,ILPS01B,IL,
282,ILSF01B,IL,
283,ILSF02B,IL,
284,ILSF03B,IL,
285,ILSF15B,IL,
286,ILSF35B,IL,
287,ILTPJAR01B,IL,
288,ILTSSC01B,IL,
289,ILTSSC02B,IL,
