,SKU_list,Brand,NotRepeat
0,10HPROLLER,10,10
1,10HPSB008,10,1B
2,10HPWARMERL,10,AB
3,10HPWARMERLBL,10,AP
4,10HPWARMERS,10,Ab
5,1B000135,1B,BA
6,1B000253,1B,BL
7,1B000254,1B,BW
8,1B005060,1B,CR
9,1B005061,1B,CV
10,1B005062,1B,DD
11,1B010002,1B,EE
12,1B010003,1B,EH
13,1B010004,1B,ER
14,1B010007,1B,GA
15,1B010008,1B,HE
16,1B010010,1B,HI
17,1B010011,1B,HO
18,1B010020,1B,IL
19,1B010023,1B,JA
20,1B010025,1B,LA
21,1B010029,1B,LB
22,1B010030,1B,LE
23,1B010031,1B,LR
24,1B010032,1B,MA
25,1B010033,1B,MG
26,1B010034,1B,MH
27,1B010035,1B,NA
28,1B010036,1B,NE
29,1B010037,1B,NY
30,1B010038,1B,OK
31,1B010039,1B,OM
32,1B010040,1B,OR
33,1B010041,1B,OT
34,1B010042,1B,PL
35,1B010043,1B,RA
36,1B010044,1B,RE
37,1B010045,1B,SF
38,1B010046,1B,SH
39,1B010047,1B,TO
40,1B015002,1B,UK
41,1B015003,1B,UN
42,1B015004,1B,YO
43,1B015007,1B,
44,1B015008,1B,
45,1B015010,1B,
46,1B015011,1B,
47,1B015020,1B,
48,1B015023,1B,
49,1B015025,1B,
50,1B015029,1B,
51,1B015030,1B,
52,1B015031,1B,
53,1B015032,1B,
54,1B015033,1B,
55,1B015034,1B,
56,1B015035,1B,
57,1B015036,1B,
58,1B015037,1B,
59,1B015038,1B,
60,1B015039,1B,
61,1B015040,1B,
62,1B015041,1B,
63,1B015042,1B,
64,1B015043,1B,
65,1B015044,1B,
66,1B015045,1B,
67,1B015046,1B,
68,1B015047,1B,
69,1B015068,1B,
70,1B015069,1B,
71,1B015070,1B,
72,1B050002,1B,
73,1B050003,1B,
74,1B050004,1B,
75,1B050007,1B,
76,1B050008,1B,
77,1B050010,1B,
78,1B050011,1B,
79,1B050020,1B,
80,1B050023,1B,
81,1B050025,1B,
82,1B050029,1B,
83,1B050030,1B,
84,1B050031,1B,
85,1B050032,1B,
86,1B050033,1B,
87,1B050034,1B,
88,1B050035,1B,
89,1B050036,1B,
90,1B050037,1B,
91,1B050038,1B,
92,1B050039,1B,
93,1B050040,1B,
94,1B050041,1B,
95,1B050042,1B,
96,1B050043,1B,
97,1B050044,1B,
98,1B050045,1B,
99,1B050046,1B,
100,1B050047,1B,
101,1B100099,1B,
102,1B100100,1B,
103,1B100101,1B,
104,1B100149,1B,
105,1B150096,1B,
106,1B150097,1B,
107,1B150098,1B,
108,1B150148,1B,
109,1B200002,1B,
110,1B200003,1B,
111,1B200004,1B,
112,1B200007,1B,
113,1B200008,1B,
114,1B200010,1B,
115,1B200011,1B,
116,1B200020,1B,
117,1B200023,1B,
118,1B200025,1B,
119,1B200030,1B,
120,1B200031,1B,
121,1B200032,1B,
122,1B200033,1B,
123,1B200034,1B,
124,1B200035,1B,
125,1B200036,1B,
126,1B200037,1B,
127,1B200038,1B,
128,1B200039,1B,
129,1B200040,1B,
130,1B200041,1B,
131,1B200042,1B,
132,1B200043,1B,
133,1B200044,1B,
134,1B200045,1B,
135,1B200046,1B,
136,1B200047,1B,
137,1B300056,1B,
138,1B300154,1B,
139,1B999056,1B,
140,1B999154,1B,
141,ABSO-0030,AB,
142,ABSO-0EAU,AB,
143,ABSO-13CBALM,AB,
144,ABSO-15MREP,AB,
145,ABSO-17OIL,AB,
146,ABSO-19LMSF,AB,
147,ABSO-1CFJ,AB,
148,ABSO-20,AB,
149,ABSO-26,AB,
150,ABSO-27,AB,
151,ABSO-28,AB,
152,ABSO-2CFN,AB,
153,ABSO-32,AB,
154,ABSO-33,AB,
155,ABSO-9EYE,AB,
156,ABSO0011,AB,
157,ABSO0012,AB,
158,ABSO0021,AB,
159,ABSO0023,AB,
160,ABSO0031,AB,
161,ABSO0034,AB,
162,ABSO0036,AB,
163,ABSO0037,AB,
164,ABSO0038,AB,
165,ABSO0041,AB,
166,ABSO0042,AB,
167,ABSO0043,AB,
168,ABSO0044,AB,
169,ABSO0082,AB,
170,ABSO1004,AB,
