,HDATE,BA,RE,IL,NY,NE,OM,ER,UK,EE,LA,LB,BL,EH,JA,MG,BW,MH,CR,Ab,LR,GA,AB,RA,LE,1B
0,2017-01,2.0,6.0,0.0,67.0,20.0,0.0,0.0,8.0,0.0,20.0,0.0,0.0,0.0,1.0,6.0,5.0,0.0,12.0,3.0,0.0,11.0,3.0,12.0,0.0,0.0
1,2017-02,1.0,6.0,0.0,59.0,34.0,1.0,3.0,6.0,0.0,19.0,0.0,0.0,4.0,4.0,5.0,6.0,0.0,15.0,2.0,0.0,9.0,3.0,5.0,0.0,0.0
2,2017-03,11.0,5.0,0.0,219.0,44.0,2.0,10.0,1.0,0.0,30.0,0.0,0.0,5.0,0.0,27.0,15.0,0.0,18.0,0.0,0.0,33.0,5.0,7.0,0.0,0.0
3,2017-04,34.0,36.0,0.0,647.0,138.0,19.0,34.0,44.0,0.0,135.0,0.0,0.0,27.0,1.0,93.0,44.0,0.0,97.0,3.0,0.0,116.0,14.0,23.0,0.0,0.0
4,2017-05,26.0,25.0,0.0,333.0,110.0,6.0,47.0,21.0,0.0,93.0,0.0,0.0,12.0,9.0,19.0,42.0,0.0,48.0,0.0,0.0,78.0,7.0,19.0,0.0,0.0
5,2017-06,13.0,25.0,0.0,249.0,48.0,4.0,24.0,14.0,0.0,63.0,0.0,0.0,1.0,5.0,37.0,33.0,0.0,23.0,7.0,0.0,44.0,5.0,5.0,0.0,0.0
6,2017-07,19.0,16.0,0.0,318.0,59.0,4.0,24.0,22.0,0.0,58.0,0.0,0.0,9.0,8.0,33.0,55.0,0.0,49.0,3.0,0.0,42.0,10.0,21.0,0.0,0.0
7,2017-08,56.0,31.0,0.0,466.0,146.0,10.0,41.0,45.0,0.0,108.0,0.0,0.0,12.0,0.0,46.0,44.0,0.0,117.0,3.0,0.0,99.0,12.0,24.0,5.0,0.0
8,2017-09,19.0,20.0,0.0,305.0,80.0,9.0,25.0,43.0,0.0,71.0,0.0,0.0,19.0,10.0,32.0,42.0,0.0,78.0,4.0,0.0,85.0,9.0,18.0,23.0,14.0
9,2017-10,68.0,68.0,0.0,585.0,141.0,29.0,41.0,57.0,0.0,177.0,0.0,0.0,34.0,12.0,109.0,53.0,0.0,192.0,4.0,0.0,138.0,26.0,82.0,99.0,102.0
10,2017-11,43.0,40.0,0.0,406.0,89.0,3.0,33.0,23.0,0.0,145.0,0.0,0.0,11.0,4.0,42.0,68.0,0.0,116.0,3.0,0.0,74.0,15.0,40.0,32.0,74.0
11,2017-12,33.0,19.0,0.0,424.0,132.0,13.0,33.0,23.0,0.0,127.0,0.0,0.0,11.0,4.0,31.0,27.0,0.0,99.0,2.0,0.0,80.0,11.0,25.0,15.0,23.0
12,2018-01,53.0,23.0,0.0,391.0,113.0,8.0,30.0,27.0,0.0,112.0,0.0,0.0,9.0,7.0,36.0,46.0,0.0,102.0,3.0,0.0,65.0,4.0,25.0,18.0,54.0
13,2018-02,50.0,36.0,0.0,496.0,173.0,15.0,41.0,34.0,0.0,151.0,0.0,0.0,8.0,8.0,66.0,46.0,0.0,138.0,10.0,0.0,94.0,13.0,36.0,25.0,93.0
14,2018-03,65.0,60.0,0.0,622.0,224.0,26.0,70.0,41.0,6.0,181.0,0.0,0.0,36.0,8.0,71.0,58.0,0.0,199.0,7.0,0.0,102.0,18.0,30.0,28.0,59.0
15,2018-04,58.0,81.0,0.0,700.0,209.0,46.0,69.0,64.0,13.0,191.0,0.0,0.0,51.0,12.0,65.0,63.0,0.0,242.0,0.0,0.0,121.0,16.0,86.0,24.0,41.0
16,2018-05,59.0,43.0,0.0,587.0,171.0,23.0,77.0,54.0,13.0,131.0,0.0,0.0,31.0,7.0,82.0,71.0,0.0,205.0,0.0,0.0,73.0,18.0,63.0,17.0,54.0
17,2018-06,70.0,43.0,0.0,431.0,116.0,13.0,66.0,48.0,7.0,83.0,0.0,0.0,16.0,12.0,51.0,55.0,0.0,136.0,0.0,0.0,57.0,7.0,48.0,27.0,29.0
18,2018-07,78.0,61.0,0.0,642.0,212.0,31.0,106.0,95.0,12.0,245.0,0.0,0.0,29.0,22.0,82.0,82.0,0.0,264.0,0.0,0.0,77.0,12.0,65.0,31.0,30.0
19,2018-08,56.0,44.0,0.0,432.0,173.0,35.0,88.0,61.0,11.0,195.0,0.0,0.0,26.0,11.0,83.0,91.0,0.0,137.0,2.0,0.0,94.0,32.0,46.0,19.0,17.0
20,2018-09,49.0,37.0,0.0,453.0,115.0,28.0,113.0,41.0,5.0,162.0,0.0,0.0,13.0,7.0,52.0,64.0,0.0,103.0,0.0,0.0,80.0,16.0,24.0,15.0,40.0
21,2018-10,71.0,79.0,0.0,855.0,260.0,53.0,170.0,88.0,13.0,270.0,0.0,0.0,53.0,11.0,118.0,125.0,0.0,221.0,0.0,0.0,164.0,49.0,90.0,26.0,65.0
22,2018-11,77.0,70.0,0.0,787.0,266.0,76.0,175.0,91.0,18.0,320.0,0.0,0.0,63.0,16.0,139.0,132.0,0.0,237.0,0.0,0.0,121.0,42.0,93.0,32.0,93.0
23,2018-12,73.0,69.0,0.0,893.0,422.0,31.0,154.0,56.0,13.0,285.0,0.0,0.0,28.0,15.0,109.0,81.0,0.0,182.0,0.0,0.0,143.0,37.0,43.0,29.0,65.0
24,2019-01,62.0,38.0,0.0,641.0,196.0,20.0,93.0,50.0,7.0,173.0,0.0,0.0,18.0,17.0,65.0,88.0,0.0,167.0,0.0,0.0,88.0,17.0,44.0,16.0,49.0
25,2019-02,113.0,71.0,0.0,1024.0,352.0,30.0,121.0,71.0,16.0,301.0,28.0,0.0,45.0,13.0,173.0,207.0,0.0,255.0,0.0,0.0,198.0,31.0,67.0,24.0,114.0
26,2019-03,59.0,48.0,0.0,673.0,235.0,14.0,82.0,92.0,13.0,159.0,52.0,0.0,20.0,14.0,70.0,106.0,0.0,155.0,0.0,0.0,95.0,21.0,49.0,12.0,77.0
27,2019-04,44.0,86.0,0.0,937.0,234.0,53.0,148.0,127.0,27.0,220.0,56.0,0.0,33.0,11.0,95.0,120.0,0.0,182.0,0.0,0.0,145.0,61.0,44.0,18.0,140.0
