,BL,NY,OM,LL,Ab,JA,IE,SF,BA,ER,CO,CR,DI,NE,LE,CU,SJ,1B,LR,IL,EH,RO,EE,MH,FO,TG,KE,SA,MG,10,BT,EL,BW,BY,RA,GA,AB,AP,NB,LB,UK,LA,OD,RE
0,0.0,167157.0,19316.0,0.0,0.0,6585.0,0.0,2486.0,28851.0,0.0,2194.0,43579.0,118599.0,29927.0,0.0,0.0,4750.0,0.0,0.0,0.0,9657.0,2547.0,17742.0,14013.0,0.0,0.0,0.0,15241.0,54247.0,0.0,43120.0,38377.0,27369.0,25281.0,8635.0,42819.0,7221.0,10053.0,25813.0,0.0,30508.0,58492.0,1930.0,15861.0
1,0.0,136233.0,20106.0,0.0,0.0,4987.0,0.0,1546.0,26156.0,6859.0,1715.0,35893.0,98456.0,23507.0,0.0,0.0,4020.0,0.0,0.0,0.0,8252.0,2924.0,14567.0,9877.0,0.0,0.0,0.0,11075.0,49331.0,0.0,39159.0,32878.0,26012.0,26172.0,8456.0,39005.0,6468.0,9042.0,22464.0,0.0,23681.0,52389.0,1540.0,12456.0
2,0.0,156949.0,26031.0,0.0,0.0,3672.0,0.0,1329.0,29970.0,14332.0,1511.0,50155.0,119706.0,32005.0,0.0,0.0,4112.0,0.0,0.0,0.0,10424.0,5197.0,20265.0,8467.0,0.0,0.0,0.0,17894.0,58336.0,0.0,48345.0,41698.0,30192.0,41234.0,10478.0,54082.0,8117.0,10507.0,26565.0,0.0,30062.0,69773.0,1857.0,17419.0
3,0.0,176165.0,30566.0,0.0,0.0,3317.0,0.0,2054.0,34295.0,19652.0,1450.0,66357.0,134370.0,30615.0,0.0,0.0,3029.0,0.0,0.0,0.0,10509.0,6024.0,20085.0,9038.0,0.0,0.0,0.0,17827.0,55488.0,0.0,52293.0,54180.0,31373.0,50812.0,11338.0,54301.0,8191.0,10094.0,28310.0,0.0,35734.0,88079.0,1965.0,17990.0
4,0.0,147112.0,26472.0,0.0,0.0,6683.0,0.0,1988.0,36461.0,17837.0,1350.0,50744.0,138168.0,29772.0,0.0,0.0,3319.0,0.0,0.0,0.0,10145.0,5074.0,19871.0,5419.0,0.0,0.0,0.0,18795.0,57597.0,0.0,50045.0,42347.0,33036.0,44681.0,11183.0,62374.0,6638.0,8574.0,24640.0,0.0,33539.0,83887.0,1834.0,12237.0
5,0.0,135195.0,23963.0,0.0,0.0,6609.0,0.0,1600.0,38282.0,17326.0,1185.0,38612.0,124259.0,35396.0,0.0,0.0,3366.0,0.0,0.0,0.0,9037.0,3024.0,18724.0,5839.0,0.0,0.0,0.0,15533.0,49668.0,0.0,47010.0,35028.0,34177.0,41248.0,10643.0,63928.0,5784.0,8258.0,22983.0,0.0,29865.0,77500.0,1633.0,12932.0
6,0.0,152564.0,24435.0,0.0,0.0,5699.0,0.0,1290.0,40370.0,20944.0,1537.0,41494.0,131160.0,37544.0,0.0,0.0,3320.0,0.0,0.0,0.0,9352.0,2504.0,18416.0,6415.0,0.0,0.0,0.0,14359.0,49437.0,0.0,50701.0,33268.0,36183.0,45141.0,12246.0,66164.0,8527.0,9848.0,21568.0,0.0,26839.0,75028.0,1586.0,14601.0
7,0.0,172346.0,27969.0,0.0,0.0,4719.0,0.0,1299.0,40148.0,22919.0,2058.0,46902.0,140330.0,45015.0,1062.0,0.0,3550.0,0.0,0.0,0.0,10260.0,4578.0,16717.0,9828.0,0.0,0.0,0.0,16073.0,59192.0,0.0,52244.0,40757.0,37803.0,42816.0,12759.0,70493.0,9856.0,10465.0,20957.0,0.0,33277.0,77918.0,1539.0,16968.0
8,0.0,186986.0,25414.0,0.0,0.0,6604.0,0.0,1536.0,41487.0,22206.0,2130.0,66463.0,155060.0,45799.0,34630.0,0.0,4328.0,2187.0,0.0,0.0,11228.0,4453.0,14707.0,16293.0,0.0,0.0,0.0,13828.0,55625.0,0.0,55932.0,53347.0,36167.0,40302.0,15773.0,90143.0,10000.0,13206.0,18965.0,0.0,42885.0,86435.0,1420.0,18405.0
9,0.0,213134.0,25680.0,0.0,0.0,6742.0,0.0,3621.0,46493.0,27562.0,2246.0,85030.0,197211.0,53567.0,43974.0,0.0,4421.0,9593.0,0.0,0.0,11512.0,4479.0,16157.0,28231.0,0.0,0.0,0.0,16667.0,61979.0,0.0,65606.0,66293.0,41416.0,54043.0,20657.0,108408.0,12251.0,14212.0,19711.0,0.0,39285.0,117761.0,1235.0,20190.0
