,LA,BA,EH,CV,10,AP,IL,MG,MH,ER,BY,BT,AB,RO,NY,IE,GA,CR,BW,BL,LL,CU,RA,EE,NB,SJ,SA,NE,1B,JA,CO,UK,RE,Ab,OM,LE,DI,LR,EL,SF,LB
0,479.0,120.0,43.0,4,0,26.0,0,153.0,0.0,8,218.0,172.0,31.0,5,496.0,0,225.0,292.0,84.0,0.0,0.0,0,2.0,59.0,17,2,27.0,98.0,0.0,5,1.0,35.0,29.0,1.0,40.0,0,846.0,0,194.0,2.0,0.0
1,364.0,115.0,28.0,7,0,13.0,0,101.0,0.0,45,185.0,256.0,22.0,0,314.0,0,189.0,253.0,65.0,0.0,0.0,0,11.0,64.0,25,7,37.0,66.0,0.0,13,4.0,30.0,13.0,2.0,55.0,0,808.0,0,173.0,0.0,0.0
2,452.0,129.0,47.0,8,0,49.0,0,134.0,0.0,62,143.0,145.0,37.0,8,505.0,0,224.0,233.0,135.0,0.0,0.0,0,8.0,55.0,14,3,32.0,246.0,0.0,5,2.0,49.0,32.0,4.0,72.0,0,833.0,0,70.0,1.0,0.0
3,574.0,144.0,51.0,1,0,170.0,0,207.0,0.0,79,288.0,151.0,28.0,30,864.0,0,253.0,310.0,128.0,0.0,0.0,0,15.0,91.0,13,2,25.0,634.0,0.0,22,2.0,49.0,39.0,2.0,71.0,0,836.0,0,183.0,4.0,0.0
4,429.0,129.0,47.0,2,0,166.0,0,208.0,0.0,86,155.0,111.0,13.0,8,631.0,0,228.0,224.0,153.0,0.0,0.0,0,17.0,50.0,4,1,33.0,406.0,0.0,20,7.0,53.0,19.0,3.0,52.0,0,827.0,0,76.0,5.0,0.0
5,358.0,124.0,30.0,0,0,27.0,0,95.0,0.0,49,165.0,92.0,20.0,4,337.0,5,167.0,213.0,61.0,0.0,0.0,0,20.0,69.0,10,5,35.0,108.0,0.0,15,0.0,37.0,24.0,6.0,44.0,0,600.0,0,123.0,2.0,0.0
6,483.0,179.0,47.0,5,0,32.0,0,174.0,2.0,58,190.0,123.0,33.0,4,540.0,3,257.0,465.0,189.0,0.0,0.0,0,28.0,65.0,16,2,32.0,154.0,0.0,16,0.0,62.0,32.0,5.0,63.0,0,1141.0,0,184.0,4.0,0.0
7,417.0,173.0,32.0,5,0,24.0,0,133.0,10.0,51,213.0,149.0,21.0,21,394.0,2,233.0,447.0,128.0,0.0,0.0,0,30.0,65.0,15,3,49.0,129.0,0.0,12,2.0,68.0,24.0,1.0,51.0,26,853.0,0,177.0,1.0,0.0
8,616.0,260.0,91.0,1,0,107.0,0,198.0,9.0,75,249.0,210.0,46.0,20,679.0,4,261.0,512.0,141.0,0.0,0.0,0,48.0,60.0,28,2,44.0,355.0,43.0,20,4.0,109.0,54.0,4.0,51.0,412,1208.0,0,246.0,4.0,0.0
9,819.0,328.0,55.0,1,0,222.0,0,240.0,26.0,78,314.0,577.0,35.0,11,739.0,1,269.0,659.0,129.0,0.0,0.0,0,56.0,99.0,20,6,49.0,703.0,163.0,23,3.0,105.0,58.0,7.0,74.0,550,1216.0,0,241.0,4.0,0.0
10,765.0,250.0,64.0,4,0,176.0,0,282.0,16.0,105,339.0,239.0,46.0,7,1042.0,3,358.0,773.0,169.0,0.0,78.0,0,82.0,71.0,19,0,32.0,632.0,146.0,13,3.0,92.0,62.0,8.0,56.0,373,935.0,0,134.0,12.0,0.0
11,505.0,106.0,20.0,1,0,30.0,0,108.0,11.0,88,390.0,142.0,31.0,12,606.0,4,255.0,493.0,81.0,0.0,198.0,0,35.0,65.0,27,6,42.0,171.0,73.0,19,3.0,61.0,11.0,7.0,38.0,257,1251.0,0,130.0,1.0,0.0
12,453.0,229.0,33.0,2,0,41.0,0,151.0,16.0,78,293.0,137.0,38.0,9,665.0,8,222.0,627.0,119.0,0.0,223.0,0,33.0,68.0,15,4,40.0,196.0,82.0,24,4.0,63.0,46.0,12.0,67.0,190,1105.0,0,118.0,10.0,0.0
13,488.0,213.0,29.0,3,0,45.0,0,134.0,14.0,102,343.0,190.0,28.0,10,702.0,3,224.0,521.0,97.0,0.0,240.0,0,62.0,85.0,8,5,32.0,159.0,74.0,13,4.0,64.0,51.0,10.0,38.0,163,1113.0,0,142.0,5.0,0.0
14,273.0,131.0,56.0,7,0,22.0,0,92.0,3.0,143,151.0,149.0,32.0,3,615.0,0,153.0,422.0,120.0,0.0,226.0,0,39.0,45.0,10,2,19.0,216.0,67.0,13,0.0,52.0,63.0,5.0,28.0,189,598.0,0,78.0,5.0,0.0
15,428.0,270.0,78.0,2,0,38.0,0,188.0,23.0,146,292.0,212.0,29.0,6,724.0,17,208.0,820.0,146.0,0.0,262.0,4,58.0,82.0,31,2,50.0,405.0,44.0,61,0.0,88.0,92.0,2.0,83.0,274,1016.0,0,179.0,2.0,0.0
16,483.0,227.0,93.0,3,0,92.0,0,267.0,6.0,217,370.0,176.0,49.0,10,845.0,13,314.0,715.0,266.0,0.0,248.0,1,71.0,72.0,32,3,42.0,535.0,72.0,48,0.0,105.0,87.0,2.0,84.0,233,960.0,0,121.0,4.0,0.0
17,412.0,230.0,45.0,3,0,49.0,0,234.0,14.0,172,359.0,278.0,41.0,11,834.0,11,175.0,559.0,161.0,0.0,185.0,0,67.0,61.0,17,0,39.0,329.0,53.0,40,0.0,124.0,74.0,4.0,78.0,161,894.0,0,86.0,9.0,0.0
18,485.0,233.0,63.0,6,0,46.0,0,169.0,8.0,305,198.0,256.0,33.0,11,758.0,20,178.0,596.0,202.0,0.0,186.0,1,65.0,71.0,13,2,37.0,269.0,108.0,48,0.0,119.0,59.0,1.0,52.0,181,762.0,0,137.0,2.0,0.0
19,447.0,199.0,54.0,2,0,20.0,0,166.0,24.0,145,218.0,158.0,70.0,2,512.0,10,191.0,466.0,135.0,0.0,214.0,5,43.0,91.0,10,2,37.0,174.0,69.0,26,1.0,111.0,36.0,0.0,92.0,152,817.0,0,104.0,12.0,0.0
20,500.0,241.0,70.0,1,0,47.0,0,209.0,12.0,204,175.0,197.0,61.0,4,860.0,8,189.0,558.0,157.0,0.0,349.0,40,31.0,102.0,20,1,57.0,336.0,103.0,37,4.0,98.0,63.0,0.0,129.0,128,758.0,0,107.0,9.0,0.0
21,839.0,434.0,117.0,0,0,118.0,0,339.0,16.0,307,431.0,463.0,120.0,9,1293.0,20,357.0,896.0,285.0,0.0,267.0,52,93.0,168.0,26,6,53.0,909.0,168.0,40,8.0,137.0,120.0,0.0,199.0,230,1217.0,0,157.0,6.0,0.0
22,949.0,495.0,167.0,0,0,176.0,0,394.0,10.0,375,297.0,227.0,141.0,6,1395.0,10,366.0,1022.0,395.0,0.0,221.0,32,142.0,95.0,23,1,37.0,1016.0,262.0,56,4.0,172.0,121.0,0.0,147.0,180,1017.0,0,77.0,14.0,0.0
23,624.0,271.0,47.0,2,0,45.0,0,180.0,12.0,194,346.0,181.0,59.0,3,1115.0,4,262.0,582.0,184.0,0.0,329.0,75,50.0,93.0,16,2,58.0,609.0,324.0,47,1.0,236.0,58.0,0.0,55.0,165,1213.0,0,98.0,9.0,0.0
24,511.0,248.0,57.0,2,9,40.0,0,152.0,13.0,222,189.0,96.0,48.0,7,1067.0,2,241.0,548.0,316.0,0.0,274.0,47,67.0,74.0,7,2,34.0,373.0,229.0,48,3.0,356.0,49.0,0.0,64.0,102,947.0,0,51.0,14.0,0.0
25,411.0,190.0,61.0,0,9,42.0,0,199.0,12.0,140,230.0,119.0,56.0,3,1007.0,9,263.0,477.0,424.0,0.0,285.0,59,66.0,89.0,16,0,37.0,359.0,234.0,40,1.0,230.0,43.0,0.0,50.0,79,1118.0,0,74.0,6.0,36.0
26,402.0,219.0,79.0,3,3,42.0,0,201.0,2.0,219,150.0,58.0,106.0,5,1147.0,5,250.0,448.0,317.0,0.0,261.0,66,54.0,63.0,5,3,12.0,406.0,228.0,41,1.0,219.0,55.0,0.0,48.0,88,555.0,0,42.0,8.0,126.0
27,474.0,295.0,146.0,11,10,78.0,0,292.0,0.0,294,49.0,31.0,200.0,3,1499.0,0,317.0,631.0,348.0,0.0,242.0,21,72.0,81.0,3,1,0.0,663.0,219.0,37,0.0,141.0,139.0,0.0,73.0,70,112.0,0,13.0,2.0,97.0
28,384.0,339.0,82.0,0,9,78.0,0,253.0,6.0,243,97.0,65.0,91.0,2,1221.0,2,225.0,563.0,337.0,31.0,199.0,33,46.0,66.0,7,0,13.0,560.0,177.0,34,0.0,170.0,88.0,0.0,47.0,70,478.0,0,38.0,7.0,77.0
29,387.0,180.0,30.0,0,8,23.0,0,140.0,5.0,165,235.0,62.0,86.0,4,921.0,4,208.0,496.0,311.0,19.0,154.0,154,79.0,88.0,13,3,25.0,265.0,114.0,15,0.0,169.0,66.0,0.0,55.0,75,927.0,0,140.0,9.0,43.0
30,434.0,178.0,33.0,0,6,46.0,0,169.0,6.0,165,251.0,61.0,83.0,3,787.0,2,200.0,440.0,314.0,25.0,201.0,115,66.0,86.0,9,1,26.0,277.0,93.0,39,1.0,239.0,46.0,0.0,77.0,60,1058.0,0,95.0,5.0,54.0
31,330.0,205.0,55.0,0,3,41.0,123,138.0,9.0,155,526.0,86.0,71.0,9,691.0,3,175.0,539.0,235.0,2.0,265.0,91,47.0,111.0,11,1,37.0,207.0,44.0,24,2.0,205.0,42.0,0.0,65.0,58,1078.0,0,105.0,4.0,27.0
32,407.0,232.0,95.0,0,2,39.0,121,181.0,8.0,158,227.0,91.0,134.0,1,816.0,0,266.0,747.0,282.0,17.0,372.0,104,67.0,105.0,31,3,46.0,282.0,57.0,20,5.0,148.0,40.0,0.0,148.0,39,997.0,0,284.0,1.0,77.0
33,1025.0,503.0,126.0,0,15,125.0,319,479.0,16.0,474,552.0,193.0,264.0,3,2256.0,17,393.0,1743.0,720.0,109.0,225.0,195,135.0,234.0,26,4,91.0,928.0,207.0,62,4.0,267.0,139.0,0.0,231.0,347,1668.0,0,595.0,14.0,142.0
34,1340.0,510.0,155.0,0,5,106.0,246,439.0,10.0,429,469.0,73.0,289.0,0,1806.0,27,589.0,1057.0,661.0,92.0,213.0,120,106.0,168.0,33,1,45.0,747.0,210.0,39,0.0,167.0,145.0,0.0,144.0,374,1966.0,0,155.0,6.0,162.0
35,173.0,125.0,29.0,0,2,8.0,50,97.0,4.0,75,347.0,30.0,16.0,0,480.0,0,373.0,140.0,110.0,10.0,300.0,72,31.0,31.0,1,0,10.0,130.0,211.0,12,0.0,76.0,19.0,0.0,22.0,256,531.0,585,49.0,4.0,34.0
36,197.0,112.0,21.0,0,1,14.0,125,104.0,1.0,117,38.0,1.0,34.0,0,749.0,0,229.0,184.0,446.0,39.0,172.0,23,49.0,29.0,0,0,1.0,208.0,84.0,11,0.0,78.0,46.0,0.0,14.0,20,56.0,436,206.0,3.0,31.0
37,711.0,256.0,68.0,0,18,73.0,172,275.0,1.0,358,51.0,2.0,102.0,0,2807.0,0,479.0,462.0,1189.0,109.0,171.0,125,184.0,64.0,0,2,1.0,735.0,258.0,36,0.0,278.0,121.0,0.0,45.0,45,128.0,1373,253.0,26.0,89.0
38,476.0,272.0,69.0,0,10,46.0,147,182.0,89.0,285,275.0,12.0,111.0,0,1525.0,0,996.0,590.0,921.0,101.0,139.0,157,78.0,63.0,15,0,10.0,559.0,159.0,29,0.0,135.0,70.0,0.0,113.0,79,856.0,1018,106.0,4.0,108.0
39,857.0,515.0,157.0,0,11,70.0,330,573.0,251.0,475,1194.0,93.0,241.0,0,2632.0,3,1828.0,1454.0,2440.0,202.0,129.0,276,107.0,247.0,33,2,81.0,1024.0,205.0,80,0.0,382.0,109.0,0.0,243.0,162,4910.0,1877,465.0,12.0,257.0
40,440.0,395.0,77.0,0,32,10.0,383,424.0,427.0,422,344.0,40.0,138.0,0,2385.0,0,886.0,948.0,1064.0,333.0,126.0,184,159.0,128.0,14,0,39.0,1232.0,329.0,74,0.0,302.0,192.0,0.0,112.0,87,2483.0,1173,230.0,18.0,216.0
41,209.0,217.0,101.0,0,40,0.0,322,411.0,303.0,433,70.0,4.0,142.0,0,2053.0,0,596.0,1188.0,436.0,183.0,164.0,95,222.0,51.0,1,0,43.0,924.0,249.0,20,0.0,437.0,185.0,0.0,50.0,56,387.0,732,11.0,10.0,129.0
42,46.0,145.0,16.0,0,5,0.0,217,228.0,98.0,174,34.0,1.0,61.0,0,667.0,0,283.0,1262.0,183.0,65.0,165.0,99,70.0,24.0,1,0,151.0,429.0,200.0,9,0.0,197.0,70.0,0.0,20.0,27,168.0,324,4.0,1.0,45.0
43,67.0,228.0,58.0,0,11,0.0,242,309.0,198.0,331,60.0,0.0,90.0,0,1278.0,0,517.0,774.0,386.0,144.0,188.0,151,56.0,54.0,1,0,5.0,673.0,223.0,23,0.0,189.0,138.0,0.0,45.0,43,330.0,594,19.0,5.0,102.0
